[ T-Track ]
    title = Espectro de energia en el gel
     mesh =  reg            # mesh type is region-wise
      reg = 600
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      600   1.0000E+00 # 600
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ./out/energy_gel.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    600

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  
#  e-lower      e-upper        proton    r.err 
   1.0000E-09   2.5000E-01   7.6925E+04  0.0008
   2.5000E-01   5.0000E-01   9.1430E+04  0.0008
   5.0000E-01   7.5000E-01   1.2845E+05  0.0008
   7.5000E-01   1.0000E+00   1.6478E+05  0.0008
   1.0000E+00   1.2500E+00   2.0072E+05  0.0007
   1.2500E+00   1.5000E+00   2.3764E+05  0.0007
   1.5000E+00   1.7500E+00   2.7623E+05  0.0007
   1.7500E+00   2.0000E+00   3.1645E+05  0.0007
   2.0000E+00   2.2500E+00   3.5760E+05  0.0007
   2.2500E+00   2.5000E+00   3.9825E+05  0.0007
   2.5000E+00   2.7500E+00   4.3706E+05  0.0007
   2.7500E+00   3.0000E+00   4.7290E+05  0.0007
   3.0000E+00   3.2500E+00   5.0540E+05  0.0007
   3.2500E+00   3.5000E+00   5.3500E+05  0.0007
   3.5000E+00   3.7500E+00   5.6388E+05  0.0007
   3.7500E+00   4.0000E+00   5.9579E+05  0.0007
   4.0000E+00   4.2500E+00   6.3373E+05  0.0007
   4.2500E+00   4.5000E+00   6.7597E+05  0.0007
   4.5000E+00   4.7500E+00   7.1807E+05  0.0007
   4.7500E+00   5.0000E+00   7.5673E+05  0.0007
   5.0000E+00   5.2500E+00   7.9191E+05  0.0007
   5.2500E+00   5.5000E+00   8.2290E+05  0.0006
   5.5000E+00   5.7500E+00   8.5141E+05  0.0006
   5.7500E+00   6.0000E+00   8.8564E+05  0.0006
   6.0000E+00   6.2500E+00   9.3124E+05  0.0006
   6.2500E+00   6.5000E+00   9.8297E+05  0.0006
   6.5000E+00   6.7500E+00   1.0309E+06  0.0006
   6.7500E+00   7.0000E+00   1.0677E+06  0.0006
   7.0000E+00   7.2500E+00   1.0865E+06  0.0006
   7.2500E+00   7.5000E+00   1.0973E+06  0.0006
   7.5000E+00   7.7500E+00   1.1247E+06  0.0006
   7.7500E+00   8.0000E+00   1.1727E+06  0.0006
   8.0000E+00   8.2500E+00   1.2229E+06  0.0006
   8.2500E+00   8.5000E+00   1.2522E+06  0.0006
   8.5000E+00   8.7500E+00   1.2598E+06  0.0006
   8.7500E+00   9.0000E+00   1.2826E+06  0.0006
   9.0000E+00   9.2500E+00   1.3380E+06  0.0006
   9.2500E+00   9.5000E+00   1.4005E+06  0.0006
   9.5000E+00   9.7500E+00   1.4309E+06  0.0006
   9.7500E+00   1.0000E+01   1.4331E+06  0.0006
   1.0000E+01   1.0250E+01   1.4690E+06  0.0006
   1.0250E+01   1.0500E+01   1.5613E+06  0.0006
   1.0500E+01   1.0750E+01   1.6575E+06  0.0006
   1.0750E+01   1.1000E+01   1.6946E+06  0.0006
   1.1000E+01   1.1250E+01   1.7300E+06  0.0006
   1.1250E+01   1.1500E+01   1.7653E+06  0.0006
   1.1500E+01   1.1750E+01   1.7322E+06  0.0006
   1.1750E+01   1.2000E+01   1.6661E+06  0.0006
   1.2000E+01   1.2250E+01   1.6986E+06  0.0006
   1.2250E+01   1.2500E+01   1.7357E+06  0.0006
   1.2500E+01   1.2750E+01   1.6340E+06  0.0006
   1.2750E+01   1.3000E+01   1.5472E+06  0.0007
   1.3000E+01   1.3250E+01   1.6357E+06  0.0007
   1.3250E+01   1.3500E+01   1.5678E+06  0.0007
   1.3500E+01   1.3750E+01   1.2881E+06  0.0007
   1.3750E+01   1.4000E+01   1.4272E+06  0.0007
   1.4000E+01   1.4250E+01   1.6468E+06  0.0007
   1.4250E+01   1.4500E+01   1.5556E+06  0.0007
   1.4500E+01   1.4750E+01   1.2716E+06  0.0008
   1.4750E+01   1.5000E+01   1.1367E+06  0.0008
   1.5000E+01   1.5250E+01   1.0028E+06  0.0009
   1.5250E+01   1.5500E+01   3.8995E+05  0.0012
   1.5500E+01   1.5750E+01   1.9770E+04  0.0040
   1.5750E+01   1.6000E+01   2.5624E+01  0.0812
   1.6000E+01   1.6250E+01   0.0000E+00  0.0000
   1.6250E+01   1.6500E+01   0.0000E+00  0.0000
   1.6500E+01   1.6750E+01   0.0000E+00  0.0000
   1.6750E+01   1.7000E+01   0.0000E+00  0.0000
   1.7000E+01   1.7250E+01   0.0000E+00  0.0000
   1.7250E+01   1.7500E+01   0.0000E+00  0.0000
   1.7500E+01   1.7750E+01   0.0000E+00  0.0000
   1.7750E+01   1.8000E+01   0.0000E+00  0.0000
   1.8000E+01   1.8250E+01   0.0000E+00  0.0000
   1.8250E+01   1.8500E+01   0.0000E+00  0.0000
   1.8500E+01   1.8750E+01   0.0000E+00  0.0000
   1.8750E+01   1.9000E+01   0.0000E+00  0.0000
   1.9000E+01   1.9250E+01   0.0000E+00  0.0000
   1.9250E+01   1.9500E+01   0.0000E+00  0.0000
   1.9500E+01   1.9750E+01   0.0000E+00  0.0000
   1.9750E+01   2.0000E+01   0.0000E+00  0.0000
   2.0000E+01   2.0250E+01   0.0000E+00  0.0000
   2.0250E+01   2.0500E+01   0.0000E+00  0.0000
   2.0500E+01   2.0750E+01   0.0000E+00  0.0000
   2.0750E+01   2.1000E+01   0.0000E+00  0.0000
   2.1000E+01   2.1250E+01   0.0000E+00  0.0000
   2.1250E+01   2.1500E+01   0.0000E+00  0.0000
   2.1500E+01   2.1750E+01   0.0000E+00  0.0000
   2.1750E+01   2.2000E+01   0.0000E+00  0.0000
   2.2000E+01   2.2250E+01   0.0000E+00  0.0000
   2.2250E+01   2.2500E+01   0.0000E+00  0.0000
   2.2500E+01   2.2750E+01   0.0000E+00  0.0000
   2.2750E+01   2.3000E+01   0.0000E+00  0.0000
   2.3000E+01   2.3250E+01   0.0000E+00  0.0000
   2.3250E+01   2.3500E+01   0.0000E+00  0.0000
   2.3500E+01   2.3750E+01   0.0000E+00  0.0000
   2.3750E+01   2.4000E+01   0.0000E+00  0.0000
   2.4000E+01   2.4250E+01   0.0000E+00  0.0000
   2.4250E+01   2.4500E+01   0.0000E+00  0.0000
   2.4500E+01   2.4750E+01   0.0000E+00  0.0000
   2.4750E+01   2.5000E+01   0.0000E+00  0.0000

#   sum over                 6.3443E+07  0.0005

'no. =  1,  reg  =    600'
msuc: {\huge Espectro de energia en el gel}
msdr: {\it plotted by \ANGEL \version}
